Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Team A Normalized,Team B Normalized,Team A Match,Team A Match Type,Team B Match,Team B Match Type
2025-03-01,RSL-AZ South 2015 Boys Red,Real Arizona FC 2015 Boys White,1,3,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_383,,rsl-az south 2015 boys red,real arizona fc 2015 boys white,RSL-AZ South 2015 Boys Red,EXACT,Real Arizona FC 2015 Boys White,EXACT
2024-10-17,RSL-AZ South 2015 Boys Red,RSL-AZ North 2015 Boys Black,1,0,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_384,,rsl-az south 2015 boys red,rsl-az north 2015 boys black,RSL-AZ South 2015 Boys Red,EXACT,RSL-AZ North 2015 Boys Black,EXACT
2025-04-27,RSL-AZ South 2015 Boys Red,FC Elite Arizona 2015 Boys Black,0,4,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_385,,rsl-az south 2015 boys red,fc elite arizona 2015 boys black,RSL-AZ South 2015 Boys Red,EXACT,FC Elite Arizona 2015 Boys Black,EXACT
2025-01-10,RSL-AZ South 2015 Boys Red,AYSO United (AZ) 2015 Boys Black,1,0,W,L,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_386,,rsl-az south 2015 boys red,ayso united (az) 2015 boys black,RSL-AZ South 2015 Boys Red,EXACT,AYSO United (AZ) 2015 Boys Black,EXACT
2025-06-28,RSL-AZ South 2015 Boys Red,Synergy FC AZ 2015 Boys White,1,1,T,T,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_387,,rsl-az south 2015 boys red,synergy fc az 2015 boys white,RSL-AZ South 2015 Boys Red,EXACT,Synergy FC AZ 2015 Boys White,EXACT
2024-12-22,RSL-AZ South 2015 Boys Red,Dynamos SC 2015 Boys Blue,3,4,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_388,,rsl-az south 2015 boys red,dynamos sc 2015 boys blue,RSL-AZ South 2015 Boys Red,EXACT,Dynamos SC 2015 Boys Blue,EXACT
2024-11-26,RSL-AZ South 2015 Boys Red,Arizona Soccer Club 2015 Boys Black,1,0,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_389,,rsl-az south 2015 boys red,arizona soccer club 2015 boys black,RSL-AZ South 2015 Boys Red,EXACT,Arizona Soccer Club 2015 Boys Black,EXACT
2025-01-04,RSL-AZ South 2015 Boys Red,Dynamos SC 2015 Boys White,3,4,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_390,,rsl-az south 2015 boys red,dynamos sc 2015 boys white,RSL-AZ South 2015 Boys Red,EXACT,Dynamos SC 2015 Boys White,EXACT
2025-06-05,RSL-AZ South 2015 Boys Red,RSL-AZ West Valley 2015 Boys Blue,0,4,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_391,,rsl-az south 2015 boys red,rsl-az west valley 2015 boys blue,RSL-AZ South 2015 Boys Red,EXACT,RSL-AZ West Valley 2015 Boys Blue,EXACT
2025-03-07,RSL-AZ South 2015 Boys Red,AZ Inferno 2015 Boys,4,3,W,L,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_392,,rsl-az south 2015 boys red,az inferno 2015 boys,RSL-AZ South 2015 Boys Red,EXACT,AZ Inferno 2015 Boys,EXACT
2024-12-05,RSL-AZ West Valley 2015 Boys Blue,FC Tucson Youth Soccer 2015 Boys White,2,2,T,T,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_393,,rsl-az west valley 2015 boys blue,fc tucson youth soccer 2015 boys white,RSL-AZ West Valley 2015 Boys Blue,EXACT,FC Tucson Youth Soccer 2015 Boys White,EXACT
2024-11-04,RSL-AZ West Valley 2015 Boys Blue,RSL-AZ Yuma 2015 Boys Black,1,0,W,L,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_394,,rsl-az west valley 2015 boys blue,rsl-az yuma 2015 boys black,RSL-AZ West Valley 2015 Boys Blue,EXACT,RSL-AZ Yuma 2015 Boys Black,EXACT
2025-03-14,RSL-AZ West Valley 2015 Boys Blue,FC Elite Arizona 2015 Boys Red,4,1,W,L,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_395,,rsl-az west valley 2015 boys blue,fc elite arizona 2015 boys red,RSL-AZ West Valley 2015 Boys Blue,EXACT,FC Elite Arizona 2015 Boys Red,EXACT
2025-08-04,RSL-AZ West Valley 2015 Boys Blue,Epic Soccer Club 2015 Boys Red,4,1,W,L,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_396,,rsl-az west valley 2015 boys blue,epic soccer club 2015 boys red,RSL-AZ West Valley 2015 Boys Blue,EXACT,Epic Soccer Club 2015 Boys Red,EXACT
2025-02-06,RSL-AZ West Valley 2015 Boys Blue,CCV STARS 2015 Boys Red,3,0,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_397,,rsl-az west valley 2015 boys blue,ccv stars 2015 boys red,RSL-AZ West Valley 2015 Boys Blue,EXACT,CCV STARS 2015 Boys Red,EXACT
2025-09-25,RSL-AZ West Valley 2015 Boys Blue,East Valley/NSFC 2015 Boys,4,3,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_398,,rsl-az west valley 2015 boys blue,east valley/nsfc 2015 boys,RSL-AZ West Valley 2015 Boys Blue,EXACT,East Valley/NSFC 2015 Boys,EXACT
2024-11-08,RSL-AZ West Valley 2015 Boys Blue,FC Arizona 2015 Boys Black,2,0,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_399,,rsl-az west valley 2015 boys blue,fc arizona 2015 boys black,RSL-AZ West Valley 2015 Boys Blue,EXACT,FC Arizona 2015 Boys Black,EXACT
2025-01-10,RSL-AZ West Valley 2015 Boys Blue,FC Tucson Youth Soccer 2015 Boys Blue,2,4,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_400,,rsl-az west valley 2015 boys blue,fc tucson youth soccer 2015 boys blue,RSL-AZ West Valley 2015 Boys Blue,EXACT,FC Tucson Youth Soccer 2015 Boys Blue,EXACT
2025-06-16,RSL-AZ West Valley 2015 Boys Blue,Real Arizona FC 2015 Boys Blue,1,4,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_401,,rsl-az west valley 2015 boys blue,real arizona fc 2015 boys blue,RSL-AZ West Valley 2015 Boys Blue,EXACT,Real Arizona FC 2015 Boys Blue,EXACT
2024-12-14,RSL-AZ West Valley 2015 Boys Blue,East Valley/NSFC 2015 Boys,2,4,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_402,,rsl-az west valley 2015 boys blue,east valley/nsfc 2015 boys,RSL-AZ West Valley 2015 Boys Blue,EXACT,East Valley/NSFC 2015 Boys,EXACT
2025-06-28,RSL-AZ West Valley 2015 Boys Blue,FC Tucson Youth Soccer 2015 Boys Blue,1,0,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_403,,rsl-az west valley 2015 boys blue,fc tucson youth soccer 2015 boys blue,RSL-AZ West Valley 2015 Boys Blue,EXACT,FC Tucson Youth Soccer 2015 Boys Blue,EXACT
2025-03-27,RSL-AZ West Valley 2015 Boys Blue,Sun Warriors AZFC 2015 Boys Black,4,0,W,L,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_404,,rsl-az west valley 2015 boys blue,sun warriors azfc 2015 boys black,RSL-AZ West Valley 2015 Boys Blue,EXACT,Sun Warriors AZFC 2015 Boys Black,EXACT
2024-11-03,RSL-AZ West Valley 2015 Boys Blue,Canyon Del Oro Soccer Club 2015 Boys Black,0,0,T,T,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_405,,rsl-az west valley 2015 boys blue,canyon del oro soccer club 2015 boys black,RSL-AZ West Valley 2015 Boys Blue,EXACT,Canyon Del Oro Soccer Club 2015 Boys Black,EXACT
2025-09-23,RSL-AZ West Valley 2015 Boys Blue,Synergy FC AZ 2015 Boys Red,0,3,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_406,,rsl-az west valley 2015 boys blue,synergy fc az 2015 boys red,RSL-AZ West Valley 2015 Boys Blue,EXACT,Synergy FC AZ 2015 Boys Red,EXACT
2025-07-23,RSL-AZ West Valley 2015 Boys Blue,AYSO United (AZ) 2015 Boys Red,3,2,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_407,,rsl-az west valley 2015 boys blue,ayso united (az) 2015 boys red,RSL-AZ West Valley 2015 Boys Blue,EXACT,AYSO United (AZ) 2015 Boys Red,EXACT
2025-07-15,RSL-AZ West Valley 2015 Boys Blue,Dynamos SC 2015 Boys Blue,0,1,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_408,,rsl-az west valley 2015 boys blue,dynamos sc 2015 boys blue,RSL-AZ West Valley 2015 Boys Blue,EXACT,Dynamos SC 2015 Boys Blue,EXACT
2025-09-29,RSL-AZ West Valley 2015 Boys Blue,Kingman SC 2015 Boys,2,1,W,L,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_409,,rsl-az west valley 2015 boys blue,kingman sc 2015 boys,RSL-AZ West Valley 2015 Boys Blue,EXACT,Kingman SC 2015 Boys,EXACT
2024-11-17,RSL-AZ West Valley 2015 Boys Blue,FBSL 2015 Boys Blue,2,4,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_410,,rsl-az west valley 2015 boys blue,fbsl 2015 boys blue,RSL-AZ West Valley 2015 Boys Blue,EXACT,FBSL 2015 Boys Blue,EXACT
2025-08-18,RSL-AZ West Valley 2015 Boys Blue,SC Union Maricopa Academy 2015 Boys Black,0,4,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_411,,rsl-az west valley 2015 boys blue,sc union maricopa academy 2015 boys black,RSL-AZ West Valley 2015 Boys Blue,EXACT,SC Union Maricopa Academy 2015 Boys Black,EXACT
2025-01-20,RSL-AZ West Valley 2015 Boys Blue,East Valley/NSFC 2015 Boys,2,0,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_412,,rsl-az west valley 2015 boys blue,east valley/nsfc 2015 boys,RSL-AZ West Valley 2015 Boys Blue,EXACT,East Valley/NSFC 2015 Boys,EXACT
2025-04-08,RSL-AZ West Valley 2015 Boys Blue,Arizona Soccer Club 2015 Boys Blue,0,0,T,T,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_413,,rsl-az west valley 2015 boys blue,arizona soccer club 2015 boys blue,RSL-AZ West Valley 2015 Boys Blue,EXACT,Arizona Soccer Club 2015 Boys Blue,EXACT
2025-03-29,RSL-AZ West Valley 2015 Boys Blue,Paris Saint-Germain Academy Phoenix 2015 Boys White,3,0,W,L,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_414,,rsl-az west valley 2015 boys blue,paris saint-germain academy phoenix 2015 boys white,RSL-AZ West Valley 2015 Boys Blue,EXACT,Paris Saint-Germain Academy Phoenix 2015 Boys White,EXACT
2025-09-13,RSL-AZ West Valley 2015 Boys Blue,FC Sonora 2015 Boys Black,4,3,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_415,,rsl-az west valley 2015 boys blue,fc sonora 2015 boys black,RSL-AZ West Valley 2015 Boys Blue,EXACT,FC Sonora 2015 Boys Black,EXACT
2025-09-19,RSL-AZ West Valley 2015 Boys White,RSL-AZ Yuma 2015 Boys Blue,1,2,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_416,,rsl-az west valley 2015 boys white,rsl-az yuma 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,RSL-AZ Yuma 2015 Boys Blue,EXACT
2025-03-22,RSL-AZ West Valley 2015 Boys White,RSL-AZ South 2015 Boys Red,1,1,T,T,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_417,,rsl-az west valley 2015 boys white,rsl-az south 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,RSL-AZ South 2015 Boys Red,EXACT
2025-02-08,RSL-AZ West Valley 2015 Boys White,RSL-AZ North 2015 Boys White,3,4,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_418,,rsl-az west valley 2015 boys white,rsl-az north 2015 boys white,RSL-AZ West Valley 2015 Boys White,EXACT,RSL-AZ North 2015 Boys White,EXACT
2024-10-24,RSL-AZ West Valley 2015 Boys White,Kingman SC 2015 Boys,0,3,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_419,,rsl-az west valley 2015 boys white,kingman sc 2015 boys,RSL-AZ West Valley 2015 Boys White,EXACT,Kingman SC 2015 Boys,EXACT
2025-10-07,RSL-AZ West Valley 2015 Boys White,FC Elite Arizona 2015 Boys Black,1,0,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_420,,rsl-az west valley 2015 boys white,fc elite arizona 2015 boys black,RSL-AZ West Valley 2015 Boys White,EXACT,FC Elite Arizona 2015 Boys Black,EXACT
2024-11-28,RSL-AZ West Valley 2015 Boys White,Phoenix Rising FC 2015 Boys White,1,0,W,L,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_421,,rsl-az west valley 2015 boys white,phoenix rising fc 2015 boys white,RSL-AZ West Valley 2015 Boys White,EXACT,Phoenix Rising FC 2015 Boys White,EXACT
2024-11-12,RSL-AZ West Valley 2015 Boys White,Real Arizona FC 2015 Boys Blue,0,2,L,W,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_422,,rsl-az west valley 2015 boys white,real arizona fc 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,Real Arizona FC 2015 Boys Blue,EXACT
2025-06-11,RSL-AZ West Valley 2015 Boys White,FC Sonora 2015 Boys Blue,0,1,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_423,,rsl-az west valley 2015 boys white,fc sonora 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,FC Sonora 2015 Boys Blue,EXACT
2025-05-11,RSL-AZ West Valley 2015 Boys White,Epic Soccer Club 2015 Boys Blue,1,4,L,W,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_424,,rsl-az west valley 2015 boys white,epic soccer club 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,Epic Soccer Club 2015 Boys Blue,EXACT
2024-10-12,RSL-AZ West Valley 2015 Boys White,FC Arizona 2015 Boys Red,3,0,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_425,,rsl-az west valley 2015 boys white,fc arizona 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,FC Arizona 2015 Boys Red,EXACT
2025-06-26,RSL-AZ West Valley 2015 Boys White,Dynamos SC 2015 Boys Red,1,2,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_426,,rsl-az west valley 2015 boys white,dynamos sc 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,Dynamos SC 2015 Boys Red,EXACT
2025-04-16,RSL-AZ West Valley 2015 Boys White,Phoenix Rising FC 2015 Boys Blue,0,2,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_427,,rsl-az west valley 2015 boys white,phoenix rising fc 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,Phoenix Rising FC 2015 Boys Blue,EXACT
2024-10-12,RSL-AZ West Valley 2015 Boys White,Dynamos SC 2015 Boys Blue,0,1,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_428,,rsl-az west valley 2015 boys white,dynamos sc 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,Dynamos SC 2015 Boys Blue,EXACT
2025-06-11,RSL-AZ West Valley 2015 Boys White,FC Elite Arizona 2015 Boys Red,4,4,T,T,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_429,,rsl-az west valley 2015 boys white,fc elite arizona 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,FC Elite Arizona 2015 Boys Red,EXACT
2025-03-06,RSL-AZ West Valley 2015 Boys White,Paladin Soccer Club 2015 Boys Red,4,2,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_430,,rsl-az west valley 2015 boys white,paladin soccer club 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,Paladin Soccer Club 2015 Boys Red,EXACT
2025-08-13,RSL-AZ West Valley 2015 Boys White,Bala FC 2015 Boys White,1,1,T,T,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_431,,rsl-az west valley 2015 boys white,bala fc 2015 boys white,RSL-AZ West Valley 2015 Boys White,EXACT,Bala FC 2015 Boys White,EXACT
2025-09-07,RSL-AZ West Valley 2015 Boys White,AYSO United (AZ) 2015 Boys Blue,3,3,T,T,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_432,,rsl-az west valley 2015 boys white,ayso united (az) 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,AYSO United (AZ) 2015 Boys Blue,EXACT
2025-04-27,RSL-AZ West Valley 2015 Boys White,FBSL 2015 Boys Red,3,3,T,T,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_433,,rsl-az west valley 2015 boys white,fbsl 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,FBSL 2015 Boys Red,EXACT
2025-09-02,RSL-AZ West Valley 2015 Boys White,Phoenix Rising FC 2015 Boys Red,0,2,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_434,,rsl-az west valley 2015 boys white,phoenix rising fc 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,Phoenix Rising FC 2015 Boys Red,EXACT
2025-02-04,RSL-AZ West Valley 2015 Boys White,FC Elite Arizona 2015 Boys Black,4,2,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_435,,rsl-az west valley 2015 boys white,fc elite arizona 2015 boys black,RSL-AZ West Valley 2015 Boys White,EXACT,FC Elite Arizona 2015 Boys Black,EXACT
2025-09-18,RSL-AZ West Valley 2015 Boys White,Dynamos SC 2015 Boys Red,0,1,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_436,,rsl-az west valley 2015 boys white,dynamos sc 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,Dynamos SC 2015 Boys Red,EXACT
2025-06-29,RSL-AZ West Valley 2015 Boys White,SC Union Maricopa Academy 2015 Boys Red,0,4,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_437,,rsl-az west valley 2015 boys white,sc union maricopa academy 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,SC Union Maricopa Academy 2015 Boys Red,EXACT
2025-10-05,RSL-AZ West Valley 2015 Boys White,Epic Soccer Club 2015 Boys Red,0,2,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_438,,rsl-az west valley 2015 boys white,epic soccer club 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,Epic Soccer Club 2015 Boys Red,EXACT
2025-10-08,RSL-AZ West Valley 2015 Boys White,FC Arizona 2015 Boys Blue,4,4,T,T,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_439,,rsl-az west valley 2015 boys white,fc arizona 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,FC Arizona 2015 Boys Blue,EXACT
2025-09-18,RSL-AZ West Valley 2015 Boys White,Paladin Soccer Club 2015 Boys Blue,1,3,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_440,,rsl-az west valley 2015 boys white,paladin soccer club 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,Paladin Soccer Club 2015 Boys Blue,EXACT
2024-11-22,RSL-AZ West Valley 2015 Boys White,Sun Warriors AZFC 2015 Boys White,4,0,W,L,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_441,,rsl-az west valley 2015 boys white,sun warriors azfc 2015 boys white,RSL-AZ West Valley 2015 Boys White,EXACT,Sun Warriors AZFC 2015 Boys White,EXACT
2025-04-09,RSL-AZ West Valley 2015 Boys White,Paris Saint-Germain Academy Phoenix 2015 Boys Blue,1,0,W,L,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_442,,rsl-az west valley 2015 boys white,paris saint-germain academy phoenix 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,Paris Saint-Germain Academy Phoenix 2015 Boys Blue,EXACT
2025-03-31,RSL-AZ West Valley 2015 Boys White,La Academia FC 2015 Boys Red,4,0,W,L,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_443,,rsl-az west valley 2015 boys white,la academia fc 2015 boys red,RSL-AZ West Valley 2015 Boys White,EXACT,La Academia FC 2015 Boys Red,EXACT
2025-09-13,RSL-AZ West Valley 2015 Boys White,Epic Soccer Club 2015 Boys White,3,0,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_444,,rsl-az west valley 2015 boys white,epic soccer club 2015 boys white,RSL-AZ West Valley 2015 Boys White,EXACT,Epic Soccer Club 2015 Boys White,EXACT
2025-06-30,RSL-AZ West Valley 2015 Boys White,Canyon Del Oro Soccer Club 2015 Boys White,2,0,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_445,,rsl-az west valley 2015 boys white,canyon del oro soccer club 2015 boys white,RSL-AZ West Valley 2015 Boys White,EXACT,Canyon Del Oro Soccer Club 2015 Boys White,EXACT
2025-07-19,RSL-AZ West Valley 2015 Boys White,Epic Soccer Club 2015 Boys Blue,4,1,W,L,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_446,,rsl-az west valley 2015 boys white,epic soccer club 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,Epic Soccer Club 2015 Boys Blue,EXACT
2025-09-04,RSL-AZ West Valley 2015 Boys White,FC Deportivo Arizona 2015 Boys White,2,1,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_447,,rsl-az west valley 2015 boys white,fc deportivo arizona 2015 boys white,RSL-AZ West Valley 2015 Boys White,EXACT,FC Deportivo Arizona 2015 Boys White,EXACT
2025-05-04,RSL-AZ West Valley 2015 Boys White,Phoenix Premier FC 2015 Boys Black,2,1,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_448,,rsl-az west valley 2015 boys white,phoenix premier fc 2015 boys black,RSL-AZ West Valley 2015 Boys White,EXACT,Phoenix Premier FC 2015 Boys Black,EXACT
2025-07-23,RSL-AZ West Valley 2015 Boys White,AZ Arsenal Soccer Club 2015 Boys Blue,4,2,W,L,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_449,,rsl-az west valley 2015 boys white,az arsenal soccer club 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,AZ Arsenal Soccer Club 2015 Boys Blue,EXACT
2025-09-07,RSL-AZ West Valley 2015 Boys White,FC Arizona 2015 Boys Black,0,4,L,W,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_450,,rsl-az west valley 2015 boys white,fc arizona 2015 boys black,RSL-AZ West Valley 2015 Boys White,EXACT,FC Arizona 2015 Boys Black,EXACT
2025-08-05,RSL-AZ West Valley 2015 Boys White,AZ Arsenal Soccer Club 2015 Boys White,1,0,W,L,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_451,,rsl-az west valley 2015 boys white,az arsenal soccer club 2015 boys white,RSL-AZ West Valley 2015 Boys White,EXACT,AZ Arsenal Soccer Club 2015 Boys White,EXACT
2025-05-11,RSL-AZ West Valley 2015 Boys White,RSL-AZ West Valley 2015 Boys Blue,2,4,L,W,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_452,,rsl-az west valley 2015 boys white,rsl-az west valley 2015 boys blue,RSL-AZ West Valley 2015 Boys White,EXACT,RSL-AZ West Valley 2015 Boys Blue,EXACT
2025-08-16,RSL-AZ Yuma 2015 Boys Blue,La Academia FC 2015 Boys Blue,4,2,W,L,Cactus Cup,Cactus Cup,U11,Unknown,Arizona,u11_453,,rsl-az yuma 2015 boys blue,la academia fc 2015 boys blue,RSL-AZ Yuma 2015 Boys Blue,EXACT,La Academia FC 2015 Boys Blue,EXACT
2025-01-28,RSL-AZ Yuma 2015 Boys Blue,Phoenix Rising FC 2015 Boys Blue,3,2,W,L,Arizona U11 State League,Arizona U11 State League,U11,Unknown,Arizona,u11_454,,rsl-az yuma 2015 boys blue,phoenix rising fc 2015 boys blue,RSL-AZ Yuma 2015 Boys Blue,EXACT,Phoenix Rising FC 2015 Boys Blue,EXACT
2024-10-11,RSL-AZ Yuma 2015 Boys Blue,FC Sonora 2015 Boys Black,4,4,T,T,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_455,,rsl-az yuma 2015 boys blue,fc sonora 2015 boys black,RSL-AZ Yuma 2015 Boys Blue,EXACT,FC Sonora 2015 Boys Black,EXACT
2025-01-19,RSL-AZ Yuma 2015 Boys Blue,Epic Soccer Club 2015 Boys Red,3,3,T,T,AZ Cup,AZ Cup,U11,Unknown,Arizona,u11_456,,rsl-az yuma 2015 boys blue,epic soccer club 2015 boys red,RSL-AZ Yuma 2015 Boys Blue,EXACT,Epic Soccer Club 2015 Boys Red,EXACT
2024-11-30,RSL-AZ Yuma 2015 Boys Blue,AYSO United (AZ) 2015 Boys White,3,0,W,L,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_457,,rsl-az yuma 2015 boys blue,ayso united (az) 2015 boys white,RSL-AZ Yuma 2015 Boys Blue,EXACT,AYSO United (AZ) 2015 Boys White,EXACT
2025-04-10,RSL-AZ Yuma 2015 Boys Blue,Vail SC 2015 Boys Blue,1,3,L,W,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_458,,rsl-az yuma 2015 boys blue,vail sc 2015 boys blue,RSL-AZ Yuma 2015 Boys Blue,EXACT,Vail SC 2015 Boys Blue,EXACT
2025-01-28,RSL-AZ Yuma 2015 Boys Blue,FC Sonora 2015 Boys Blue,4,0,W,L,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_459,,rsl-az yuma 2015 boys blue,fc sonora 2015 boys blue,RSL-AZ Yuma 2015 Boys Blue,EXACT,FC Sonora 2015 Boys Blue,EXACT
2024-12-29,RSL-AZ Yuma 2015 Boys Blue,FC Elite Arizona 2015 Boys White,2,4,L,W,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_460,,rsl-az yuma 2015 boys blue,fc elite arizona 2015 boys white,RSL-AZ Yuma 2015 Boys Blue,EXACT,FC Elite Arizona 2015 Boys White,EXACT
2025-08-02,RSL-AZ Yuma 2015 Boys Blue,FC Elite Arizona 2015 Boys White,0,0,T,T,Phoenix Premier League,Phoenix Premier League,U11,Unknown,Arizona,u11_461,,rsl-az yuma 2015 boys blue,fc elite arizona 2015 boys white,RSL-AZ Yuma 2015 Boys Blue,EXACT,FC Elite Arizona 2015 Boys White,EXACT
2025-08-12,RSL-AZ Yuma 2015 Boys Blue,FC Sonora 2015 Boys White,0,2,L,W,Desert Classic,Desert Classic,U11,Unknown,Arizona,u11_462,,rsl-az yuma 2015 boys blue,fc sonora 2015 boys white,RSL-AZ Yuma 2015 Boys Blue,EXACT,FC Sonora 2015 Boys White,EXACT
2025-02-10,RSL-AZ Yuma 2015 Boys Blue,Excel Soccer Academy 2015 Boys Blue,3,0,W,L,Valley Championship,Valley Championship,U11,Unknown,Arizona,u11_463,,rsl-az yuma 2015 boys blue,excel soccer academy 2015 boys blue,RSL-AZ Yuma 2015 Boys Blue,EXACT,Excel Soccer Academy 2015 Boys Blue,EXACT
