Team,Opponent,TeamRaw,OpponentRaw,TeamScore,OpponentScore,Competition,Date,Division,TeamURL
rsl-az west valley 2016 boys red,rsl-az west valley 2016 boys white,RSL-AZ West Valley 2016 Boys Red,RSL-AZ West Valley 2016 Boys White,3,0,League Play,2025-03-03,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,fountain hills soccer club 2016 boys red,RSL-AZ West Valley 2016 Boys Red,Fountain Hills Soccer Club 2016 Boys Red,0,4,League Play,2025-05-02,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,maricopa soccer club 2016 boys red,RSL-AZ West Valley 2016 Boys Red,Maricopa Soccer Club 2016 Boys Red,4,3,League Play,2025-02-09,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,rsl-az north 2016 boys white,RSL-AZ West Valley 2016 Boys Red,RSL-AZ North 2016 Boys White,3,0,League Play,2025-03-18,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,paradise valley soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys Red,Paradise Valley Soccer Club 2016 Boys Gold,4,4,League Play,2025-04-11,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,phoenix premier fc 2016 boys red,RSL-AZ West Valley 2016 Boys Red,Phoenix Premier FC 2016 Boys Red,0,3,League Play,2025-06-26,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,az arsenal soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys Red,AZ Arsenal Soccer Club 2016 Boys Gold,4,2,League Play,2025-04-27,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,scottsdale soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys Red,Scottsdale Soccer Club 2016 Boys Blue,1,4,League Play,2025-06-10,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,scottsdale soccer club 2016 boys black,RSL-AZ West Valley 2016 Boys Red,Scottsdale Soccer Club 2016 Boys Black,4,2,League Play,2025-08-02,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,glendale soccer club 2016 boys black,RSL-AZ West Valley 2016 Boys Red,Glendale Soccer Club 2016 Boys Black,1,2,League Play,2025-02-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,fc elite arizona 2016 boys black,RSL-AZ West Valley 2016 Boys Red,FC Elite Arizona 2016 Boys Black,3,4,League Play,2025-09-07,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,fc tucson youth soccer 2016 boys red,RSL-AZ West Valley 2016 Boys Red,FC Tucson Youth Soccer 2016 Boys Red,0,2,League Play,2025-06-16,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,cave creek soccer club 2016 boys white,RSL-AZ West Valley 2016 Boys Red,Cave Creek Soccer Club 2016 Boys White,2,3,League Play,2025-06-17,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,queen creek soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys Red,Queen Creek Soccer Club 2016 Boys Blue,1,4,League Play,2025-07-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,scottsdale soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys Red,Scottsdale Soccer Club 2016 Boys Gold,1,2,League Play,2025-01-15,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,scottsdale soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys Red,Scottsdale Soccer Club 2016 Boys Gold,0,0,League Play,2025-08-13,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,chandler soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys Red,Chandler Soccer Club 2016 Boys Gold,1,4,League Play,2025-02-13,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,goodyear soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys Red,Goodyear Soccer Club 2016 Boys Gold,4,1,League Play,2025-01-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,apache junction soccer club 2016 boys red,RSL-AZ West Valley 2016 Boys Red,Apache Junction Soccer Club 2016 Boys Red,0,2,League Play,2025-07-18,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,buckeye soccer club 2016 boys black,RSL-AZ West Valley 2016 Boys Red,Buckeye Soccer Club 2016 Boys Black,4,2,League Play,2025-09-17,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
rsl-az west valley 2016 boys red,maricopa soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys Red,Maricopa Soccer Club 2016 Boys Gold,3,4,League Play,2025-06-16,az_boys_u10,https://rankings.gotsport.com/teams/u10_30
peoria soccer club 2016 boys white,az soccer club 2016 boys red,Peoria Soccer Club 2016 Boys White,AZ Soccer Club 2016 Boys Red,1,4,League Play,2025-01-26,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,mesa soccer club 2016 boys gold,Peoria Soccer Club 2016 Boys White,Mesa Soccer Club 2016 Boys Gold,4,2,League Play,2025-08-19,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,maricopa soccer club 2016 boys black,Peoria Soccer Club 2016 Boys White,Maricopa Soccer Club 2016 Boys Black,3,1,League Play,2024-12-18,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,fc tucson youth soccer 2016 boys gold,Peoria Soccer Club 2016 Boys White,FC Tucson Youth Soccer 2016 Boys Gold,3,4,League Play,2025-07-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,mesa soccer club 2016 boys blue,Peoria Soccer Club 2016 Boys White,Mesa Soccer Club 2016 Boys Blue,0,1,League Play,2025-02-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,rsl-az yuma 2016 boys gold,Peoria Soccer Club 2016 Boys White,RSL-AZ Yuma 2016 Boys Gold,3,0,League Play,2025-07-20,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,phoenix rising fc 2016 boys gold,Peoria Soccer Club 2016 Boys White,Phoenix Rising FC 2016 Boys Gold,2,3,League Play,2024-12-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,az soccer club 2016 boys black,Peoria Soccer Club 2016 Boys White,AZ Soccer Club 2016 Boys Black,3,0,League Play,2025-06-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,fc tucson youth soccer 2016 boys gold,Peoria Soccer Club 2016 Boys White,FC Tucson Youth Soccer 2016 Boys Gold,2,0,League Play,2025-02-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,queen creek soccer club 2016 boys blue,Peoria Soccer Club 2016 Boys White,Queen Creek Soccer Club 2016 Boys Blue,1,3,League Play,2025-09-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,az arsenal soccer club 2016 boys blue,Peoria Soccer Club 2016 Boys White,AZ Arsenal Soccer Club 2016 Boys Blue,3,1,League Play,2025-03-25,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,glendale soccer club 2016 boys white,Peoria Soccer Club 2016 Boys White,Glendale Soccer Club 2016 Boys White,3,2,League Play,2025-07-10,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,paradise valley soccer club 2016 boys blue,Peoria Soccer Club 2016 Boys White,Paradise Valley Soccer Club 2016 Boys Blue,4,3,League Play,2025-06-08,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,avondale soccer club 2016 boys white,Peoria Soccer Club 2016 Boys White,Avondale Soccer Club 2016 Boys White,1,1,League Play,2025-08-13,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,az arsenal soccer club 2016 boys blue,Peoria Soccer Club 2016 Boys White,AZ Arsenal Soccer Club 2016 Boys Blue,0,1,League Play,2025-06-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,scottsdale soccer club 2016 boys white,Peoria Soccer Club 2016 Boys White,Scottsdale Soccer Club 2016 Boys White,3,3,League Play,2025-03-08,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,buckeye soccer club 2016 boys gold,Peoria Soccer Club 2016 Boys White,Buckeye Soccer Club 2016 Boys Gold,0,1,League Play,2025-05-30,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,gilbert soccer club 2016 boys blue,Peoria Soccer Club 2016 Boys White,Gilbert Soccer Club 2016 Boys Blue,2,3,League Play,2025-03-05,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,buckeye soccer club 2016 boys black,Peoria Soccer Club 2016 Boys White,Buckeye Soccer Club 2016 Boys Black,2,3,League Play,2025-07-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,valley united fc 2016 boys white,Peoria Soccer Club 2016 Boys White,Valley United FC 2016 Boys White,2,4,League Play,2025-03-11,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,buckeye soccer club 2016 boys blue,Peoria Soccer Club 2016 Boys White,Buckeye Soccer Club 2016 Boys Blue,0,1,League Play,2025-01-02,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,gilbert soccer club 2016 boys white,Peoria Soccer Club 2016 Boys White,Gilbert Soccer Club 2016 Boys White,3,1,League Play,2025-07-08,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,rsl-az south 2016 boys gold,Peoria Soccer Club 2016 Boys White,RSL-AZ South 2016 Boys Gold,3,4,League Play,2025-04-27,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,fountain hills soccer club 2016 boys red,Peoria Soccer Club 2016 Boys White,Fountain Hills Soccer Club 2016 Boys Red,1,1,League Play,2025-06-02,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
peoria soccer club 2016 boys white,fc tucson youth soccer 2016 boys red,Peoria Soccer Club 2016 Boys White,FC Tucson Youth Soccer 2016 Boys Red,2,3,League Play,2025-06-26,az_boys_u10,https://rankings.gotsport.com/teams/u10_31
az arsenal soccer club 2016 boys gold,chandler soccer club 2016 boys red,AZ Arsenal Soccer Club 2016 Boys Gold,Chandler Soccer Club 2016 Boys Red,2,0,League Play,2025-05-30,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,rsl-az yuma 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,RSL-AZ Yuma 2016 Boys Gold,1,3,League Play,2025-03-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,az soccer club 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,AZ Soccer Club 2016 Boys White,0,1,League Play,2025-06-08,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,apache junction soccer club 2016 boys red,AZ Arsenal Soccer Club 2016 Boys Gold,Apache Junction Soccer Club 2016 Boys Red,2,1,League Play,2025-08-08,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,Queen Creek Soccer Club 2016 Boys Gold,1,4,League Play,2025-09-19,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,glendale soccer club 2016 boys black,AZ Arsenal Soccer Club 2016 Boys Gold,Glendale Soccer Club 2016 Boys Black,4,1,League Play,2025-06-04,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,scottsdale soccer club 2016 boys black,AZ Arsenal Soccer Club 2016 Boys Gold,Scottsdale Soccer Club 2016 Boys Black,2,1,League Play,2025-06-02,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,Queen Creek Soccer Club 2016 Boys Gold,3,2,League Play,2025-05-07,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,gilbert soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,Gilbert Soccer Club 2016 Boys Blue,0,1,League Play,2025-02-10,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,scottsdale soccer club 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,Scottsdale Soccer Club 2016 Boys Gold,2,3,League Play,2025-09-03,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,fc tucson youth soccer 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,FC Tucson Youth Soccer 2016 Boys White,3,4,League Play,2025-05-24,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,peoria soccer club 2016 boys black,AZ Arsenal Soccer Club 2016 Boys Gold,Peoria Soccer Club 2016 Boys Black,1,1,League Play,2025-05-21,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,fountain hills soccer club 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,Fountain Hills Soccer Club 2016 Boys White,4,4,League Play,2025-08-24,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,peoria soccer club 2016 boys black,AZ Arsenal Soccer Club 2016 Boys Gold,Peoria Soccer Club 2016 Boys Black,1,1,League Play,2025-07-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,glendale soccer club 2016 boys white,AZ Arsenal Soccer Club 2016 Boys Gold,Glendale Soccer Club 2016 Boys White,0,4,League Play,2024-12-15,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,rsl-az yuma 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,RSL-AZ Yuma 2016 Boys Gold,0,4,League Play,2025-01-15,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,Queen Creek Soccer Club 2016 Boys Gold,1,1,League Play,2025-08-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,fc tucson youth soccer 2016 boys red,AZ Arsenal Soccer Club 2016 Boys Gold,FC Tucson Youth Soccer 2016 Boys Red,2,1,League Play,2025-10-10,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,rsl-az west valley 2016 boys gold,AZ Arsenal Soccer Club 2016 Boys Gold,RSL-AZ West Valley 2016 Boys Gold,4,1,League Play,2025-01-18,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,glendale soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,Glendale Soccer Club 2016 Boys Blue,1,1,League Play,2025-05-30,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,Queen Creek Soccer Club 2016 Boys Blue,2,1,League Play,2025-06-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,fc tucson youth soccer 2016 boys red,AZ Arsenal Soccer Club 2016 Boys Gold,FC Tucson Youth Soccer 2016 Boys Red,0,2,League Play,2025-08-27,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,phoenix premier fc 2016 boys red,AZ Arsenal Soccer Club 2016 Boys Gold,Phoenix Premier FC 2016 Boys Red,4,2,League Play,2024-12-16,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,Queen Creek Soccer Club 2016 Boys Blue,4,4,League Play,2025-01-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
az arsenal soccer club 2016 boys gold,queen creek soccer club 2016 boys blue,AZ Arsenal Soccer Club 2016 Boys Gold,Queen Creek Soccer Club 2016 Boys Blue,2,1,League Play,2025-06-13,az_boys_u10,https://rankings.gotsport.com/teams/u10_32
rsl-az west valley 2016 boys white,casa grande soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys White,Casa Grande Soccer Club 2016 Boys Gold,1,4,League Play,2025-03-26,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,paradise valley soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys White,Paradise Valley Soccer Club 2016 Boys Gold,0,3,League Play,2025-04-26,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,az arsenal soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys White,AZ Arsenal Soccer Club 2016 Boys Gold,3,1,League Play,2025-08-12,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,chandler soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys White,Chandler Soccer Club 2016 Boys Blue,2,1,League Play,2025-07-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,az soccer club 2016 boys red,RSL-AZ West Valley 2016 Boys White,AZ Soccer Club 2016 Boys Red,2,2,League Play,2025-05-05,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,gilbert soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys White,Gilbert Soccer Club 2016 Boys Blue,1,2,League Play,2025-06-16,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,glendale soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys White,Glendale Soccer Club 2016 Boys Blue,2,3,League Play,2024-12-24,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,rsl-az yuma 2016 boys red,RSL-AZ West Valley 2016 Boys White,RSL-AZ Yuma 2016 Boys Red,1,0,League Play,2025-02-17,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,rsl-az west valley 2016 boys black,RSL-AZ West Valley 2016 Boys White,RSL-AZ West Valley 2016 Boys Black,1,3,League Play,2025-07-02,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,peoria soccer club 2016 boys white,RSL-AZ West Valley 2016 Boys White,Peoria Soccer Club 2016 Boys White,1,4,League Play,2025-08-19,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,goodyear soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys White,Goodyear Soccer Club 2016 Boys Gold,3,4,League Play,2024-12-31,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,queen creek soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys White,Queen Creek Soccer Club 2016 Boys Blue,4,0,League Play,2025-09-18,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,surprise soccer club 2016 boys red,RSL-AZ West Valley 2016 Boys White,Surprise Soccer Club 2016 Boys Red,3,2,League Play,2025-03-12,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,rsl-az yuma 2016 boys gold,RSL-AZ West Valley 2016 Boys White,RSL-AZ Yuma 2016 Boys Gold,2,0,League Play,2025-05-10,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,rsl-az west valley 2016 boys red,RSL-AZ West Valley 2016 Boys White,RSL-AZ West Valley 2016 Boys Red,4,4,League Play,2025-04-24,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,casa grande soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys White,Casa Grande Soccer Club 2016 Boys Gold,1,1,League Play,2025-04-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,az arsenal soccer club 2016 boys gold,RSL-AZ West Valley 2016 Boys White,AZ Arsenal Soccer Club 2016 Boys Gold,3,4,League Play,2024-12-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,gilbert soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys White,Gilbert Soccer Club 2016 Boys Blue,1,1,League Play,2024-12-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,rsl-az yuma 2016 boys red,RSL-AZ West Valley 2016 Boys White,RSL-AZ Yuma 2016 Boys Red,0,4,League Play,2025-03-30,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,paradise valley soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys White,Paradise Valley Soccer Club 2016 Boys Blue,4,2,League Play,2025-06-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,az arsenal soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys White,AZ Arsenal Soccer Club 2016 Boys Blue,4,1,League Play,2025-04-09,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,fc tucson youth soccer 2016 boys gold,RSL-AZ West Valley 2016 Boys White,FC Tucson Youth Soccer 2016 Boys Gold,3,0,League Play,2024-12-17,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,scottsdale soccer club 2016 boys white,RSL-AZ West Valley 2016 Boys White,Scottsdale Soccer Club 2016 Boys White,2,1,League Play,2025-04-19,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,rsl-az yuma 2016 boys red,RSL-AZ West Valley 2016 Boys White,RSL-AZ Yuma 2016 Boys Red,3,2,League Play,2025-03-06,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
rsl-az west valley 2016 boys white,queen creek soccer club 2016 boys blue,RSL-AZ West Valley 2016 Boys White,Queen Creek Soccer Club 2016 Boys Blue,3,0,League Play,2025-07-09,az_boys_u10,https://rankings.gotsport.com/teams/u10_33
chandler soccer club 2016 boys red,gilbert soccer club 2016 boys red,Chandler Soccer Club 2016 Boys Red,Gilbert Soccer Club 2016 Boys Red,2,0,League Play,2025-04-13,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,az soccer club 2016 boys red,Chandler Soccer Club 2016 Boys Red,AZ Soccer Club 2016 Boys Red,4,1,League Play,2025-06-03,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,fc tucson youth soccer 2016 boys gold,Chandler Soccer Club 2016 Boys Red,FC Tucson Youth Soccer 2016 Boys Gold,0,4,League Play,2025-04-02,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,queen creek soccer club 2016 boys blue,Chandler Soccer Club 2016 Boys Red,Queen Creek Soccer Club 2016 Boys Blue,2,2,League Play,2025-06-28,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,queen creek soccer club 2016 boys white,Chandler Soccer Club 2016 Boys Red,Queen Creek Soccer Club 2016 Boys White,0,2,League Play,2025-09-07,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,rsl-az west valley 2016 boys red,Chandler Soccer Club 2016 Boys Red,RSL-AZ West Valley 2016 Boys Red,2,3,League Play,2025-01-29,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,cave creek soccer club 2016 boys black,Chandler Soccer Club 2016 Boys Red,Cave Creek Soccer Club 2016 Boys Black,4,2,League Play,2025-01-04,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,queen creek soccer club 2016 boys blue,Chandler Soccer Club 2016 Boys Red,Queen Creek Soccer Club 2016 Boys Blue,4,2,League Play,2025-06-05,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,chandler soccer club 2016 boys blue,Chandler Soccer Club 2016 Boys Red,Chandler Soccer Club 2016 Boys Blue,0,0,League Play,2025-08-14,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,cave creek soccer club 2016 boys white,Chandler Soccer Club 2016 Boys Red,Cave Creek Soccer Club 2016 Boys White,3,0,League Play,2025-07-15,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,fc tucson youth soccer 2016 boys gold,Chandler Soccer Club 2016 Boys Red,FC Tucson Youth Soccer 2016 Boys Gold,3,2,League Play,2025-03-18,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,fc elite arizona 2016 boys blue,Chandler Soccer Club 2016 Boys Red,FC Elite Arizona 2016 Boys Blue,4,1,League Play,2025-09-18,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,peoria soccer club 2016 boys black,Chandler Soccer Club 2016 Boys Red,Peoria Soccer Club 2016 Boys Black,3,1,League Play,2025-10-09,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,fc tucson youth soccer 2016 boys gold,Chandler Soccer Club 2016 Boys Red,FC Tucson Youth Soccer 2016 Boys Gold,1,3,League Play,2025-05-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,scottsdale soccer club 2016 boys blue,Chandler Soccer Club 2016 Boys Red,Scottsdale Soccer Club 2016 Boys Blue,3,1,League Play,2025-04-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,rsl-az north 2016 boys white,Chandler Soccer Club 2016 Boys Red,RSL-AZ North 2016 Boys White,3,2,League Play,2025-06-29,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,desert sc 2016 boys white,Chandler Soccer Club 2016 Boys Red,Desert SC 2016 Boys White,0,3,League Play,2025-09-21,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,casa grande soccer club 2016 boys gold,Chandler Soccer Club 2016 Boys Red,Casa Grande Soccer Club 2016 Boys Gold,4,2,League Play,2025-03-01,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,peoria soccer club 2016 boys gold,Chandler Soccer Club 2016 Boys Red,Peoria Soccer Club 2016 Boys Gold,4,0,League Play,2025-08-04,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,mesa soccer club 2016 boys blue,Chandler Soccer Club 2016 Boys Red,Mesa Soccer Club 2016 Boys Blue,2,3,League Play,2025-09-30,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
chandler soccer club 2016 boys red,az arsenal soccer club 2016 boys blue,Chandler Soccer Club 2016 Boys Red,AZ Arsenal Soccer Club 2016 Boys Blue,3,2,League Play,2025-01-23,az_boys_u10,https://rankings.gotsport.com/teams/u10_34
