Team,Goals For,Opponent,Goals Against,Date
NOS Santos 14 Boys Blue,1,Brazas 2014 Boys Black Marcos,4,2025-02-11
NOS Santos 14 Boys Blue,2,Tuzos Royals 2014,3,2025-02-08
NOS Santos 14 Boys Blue,0,PRFC Desert Foothills 14B Predator,5,2025-01-25
NOS Santos 14 Boys Blue,0,Southeast 2014 Boys Green,2,2025-01-25
NOS Santos 14 Boys Blue,0,FC Elite Arizona 2014 Boys (ARCHIVED),6,2025-01-24
NOS Santos 14 Boys Blue,4,AZ Arsenal 14 Boys Teal SC,0,2025-01-18
NOS Santos 14 Boys Blue,1,2014B West,5,2024-12-07
NOS Santos 14 Boys Blue,0,CCV Stars 14 Boys North Orange,8,2024-12-07
NOS Santos 14 Boys Blue,2,14B GSA,5,2024-12-07
NOS Santos 14 Boys Blue,1,PRFC Southeast Valley 14B Predator-Central,8,2024-12-07
NOS Santos 14 Boys Blue,5,PRFC West Valley 14B Pre-Academy,1,2024-12-06
NOS Santos 14 Boys Blue,1,Tuzos Halcones 2014,9,2024-12-06
NOS Santos 14 Boys Blue,2,East Valley NSFC 14 Boys Aguirre,1,2024-11-16
NOS Santos 14 Boys Blue,1,Brazas 2014 Boys Black Marcos,2,2024-11-16
NOS Santos 14 Boys Blue,4,Phoenix Premier FC 14B Black,3,2024-11-14
NOS Santos 14 Boys Blue,4,Playmaker Futbol Academy 14B Gold,2,2024-11-09
NOS Santos 14 Boys Blue,4,Playmaker Futbol Academy 14B Black,2,2024-11-09
NOS Santos 14 Boys Blue,5,14B Engilman,1,2024-11-02
NOS Santos 14 Boys Blue,5,Tuzos Academy Mesa 2014,4,2024-10-23
NOS Santos 14 Boys Blue,2,2014B West,6,2024-10-05
NOS Santos 14 Boys Blue,2,2014B West,6,2024-10-05
NOS Santos 14 Boys Blue,5,14B Moyer,1,2024-09-28
NOS Santos 14 Boys Blue,1,14B Velasco,1,2024-09-21
NOS Santos 14 Boys Blue,4,PRFC Southeast Valley 14B Pre-Academy,5,2024-09-14
NOS Santos 14 Boys Blue,3,U-12 (2014) Boys Pre Academy Blue,0,2024-04-20
NOS Santos 14 Boys Blue,3,Dynamos SC 14B SC,5,2024-04-19
NOS Santos 14 Boys Blue,3,Legends FC AZ 14B Black,5,2024-04-19
NOS Santos 14 Boys White,3,CCV Stars 14 Boys North Navy,3,2025-10-04
NOS Santos 14 Boys White,2,PRFC Desert Foothills 14B Predator,2,2025-09-20
NOS Santos 14 Boys White,0,14B Moyer,9,2025-09-13
NOS Santos 14 Boys White,0,Tuzos Royals 14 Pre-Academy,6,2025-09-13
NOS Santos 14 Boys White,0,14B Engilman,6,2025-09-12
NOS Santos 14 Boys White,3,SCUM East Valley 14B Ninjas,0,2025-09-06
NOS Santos 14 Boys White,4,Amore 2014 Boys,5,2025-04-19
NOS Santos 14 Boys White,1,PRFC West Valley 14B Predator,3,2025-04-18
NOS Santos 14 Boys White,1,Phoenix Premier FC 14B White,1,2025-04-14
NOS Santos 14 Boys White,4,CCV Stars 14 Boys East Pre-ECNL,6,2025-03-21
NOS Santos 14 Boys White,5,PRFC North Valley 14B Copa,3,2025-03-01
NOS Santos 14 Boys White,0,PSG 14B Blue,8,2025-02-15
NOS Santos 14 Boys White,5,14B Laroussi,3,2025-02-08
NOS Santos 14 Boys White,2,Tuzos 2014 Nava,4,2025-02-01
NOS Santos 14 Boys White,1,AZEV B2014 (WHITE),3,2025-01-25
NOS Santos 14 Boys White,12,SCUM East Valley 14B Ninjas,0,2025-01-11
NOS Santos 14 Boys White,0,FC Elite Arizona 2014 Boys (ARCHIVED),5,2024-12-07
NOS Santos 14 Boys White,0,CCV Stars 14 Boys North Navy,2,2024-12-07
NOS Santos 14 Boys White,2,PRFC North Valley 14B Copa,5,2024-12-06
NOS Santos 14 Boys White,2,Amore 2014 Boys,0,2024-11-16
NOS Santos 14 Boys White,2,East Valley NSFC 14 Boys Tiggs,0,2024-11-16
NOS Santos 14 Boys White,3,La Academia 14B,6,2024-11-14
NOS Santos 14 Boys White,2,Tuzos 2014 Nava,3,2024-11-09
NOS Santos 14 Boys White,4,PRFC Desert Foothills 14B Predator,2,2024-11-02
NOS Santos 14 Boys White,1,PRFC Southeast Valley 14B Predator,3,2024-10-19
NOS Santos 14 Boys White,0,AZ Arsenal 14 Boys Teal SC,3,2024-10-18
NOS Santos 14 Boys White,0,AZ Arsenal 14 Boys Teal SC,3,2024-10-18
NOS Santos 14 Boys White,2,Madison FC 14 Blue Boys,1,2024-09-21
NOS Santos 14 Boys White,2,AZEV B2014 (WHITE),2,2024-09-14
NOS Santos 14 Boys White,5,2014 Rush Boys,3,2024-09-07
Northwest 2014 Boys,1,Phoenix Premier FC 14B Black,6,2025-04-26
Northwest 2014 Boys,1,Phoenix Premier FC 14B X-Factor,6,2025-04-26
Northwest 2014 Boys,2,PRFC Scottsdale 14B Predator,3,2025-04-13
Northwest 2014 Boys,2,PRFC Scottsdale 14B Predator,3,2025-04-13
Northwest 2014 Boys,1,U-12 (2014) Boys Pre Academy Blue,8,2025-04-12
Northwest 2014 Boys,1,CCV Stars 14 Boys South Pre-ECNL,1,2025-03-29
Northwest 2014 Boys,0,Dynamos SC 14B SC,2,2025-03-29
Northwest 2014 Boys,0,Legends FC AZ 14B Black,2,2025-03-29
Northwest 2014 Boys,3,PRFC Scottsdale 14B Predator,1,2025-03-22
Northwest 2014 Boys,0,Southeast 2014 Boys Blue,3,2025-03-21
Northwest 2014 Boys,0,Southeast 2014 Boys Blue,3,2025-03-21
Northwest 2014 Boys,3,PRFC Southeast Valley 14B Pre-Academy,4,2025-02-23
Northwest 2014 Boys,3,PRFC Southeast Valley 14B Pre-Academy,4,2025-02-23
Northwest 2014 Boys,5,CCV Stars 14 Boys East Pre-ECNL,2,2025-02-22
Northwest 2014 Boys,1,Dynamos SC 14B Gold,4,2025-02-08
Northwest 2014 Boys,0,Tuzos Royals 2014,3,2025-01-19
Northwest 2014 Boys,0,Tuzos Royals 2014,3,2025-01-19
Northwest 2014 Boys,3,West Valley 2014 Boys Martinez Pre-Elite64,2,2025-01-18
Northwest 2014 Boys,3,West Valley 2014 Boys Martinez Pre-Elite64,2,2025-01-18
Northwest 2014 Boys,2,Madison FC 14 Gold Boys,5,2025-01-18
Northwest 2014 Boys,2,Madison FC 14 Gold Boys,5,2025-01-18
Northwest 2014 Boys,1,PRFC North Valley 14B Predator,1,2025-01-12
Northwest 2014 Boys,1,PRFC North Valley 14B Predator,1,2025-01-12
Northwest 2014 Boys,1,14B Velasco,4,2025-01-11
Northwest 2014 Boys,0,AZEV B2014 (NAVY),1,2025-01-10
Northwest 2014 Boys,0,AZEV B2014 (NAVY),1,2025-01-10
Northwest 2014 Boys,2,14B Rueda,1,2024-12-15
Northwest 2014 Boys,4,Southeast 2014 Boys Green,1,2024-12-14
Northwest 2014 Boys,4,Southeast 2014 Boys Green,1,2024-12-14
Northwest 2014 Boys,2,Southeast 2014 Boys Blue,1,2024-12-08
Northwest 2014 Boys,2,Southeast 2014 Boys Blue,1,2024-12-08
Northwest 2014 Boys,1,Southeast 2014 Boys Blue,5,2024-12-07
Northwest 2014 Boys,1,Southeast 2014 Boys Blue,5,2024-12-07
Northwest 2014 Boys,2,Dynamos SC 14B Gold,0,2024-12-07
Northwest 2014 Boys,2,Tuzos Academy Mesa 2014,1,2024-12-06
Northwest 2014 Boys,2,Tuzos Academy Mesa 2014,1,2024-12-06
Northwest 2014 Boys,0,2014 Tuzos Academy FV,3,2024-11-30
Northwest 2014 Boys,0,2014 Tuzos Academy FV,3,2024-11-30
Northwest 2014 Boys,1,Dynamos SC 14B Gold,3,2024-11-24
Northwest 2014 Boys,3,AZSC 14B Perez,6,2024-11-23
Northwest 2014 Boys,3,AZSC 14B Perez,6,2024-11-23
Northwest 2014 Boys,0,14 Pre-MLSN #2,4,2024-11-23
Northwest 2014 Boys,0,2014B West,7,2024-11-10
Northwest 2014 Boys,0,2014B West,7,2024-11-10
Northwest 2014 Boys,0,AZSC 14B Perez,5,2024-11-09
Northwest 2014 Boys,0,AZSC 14B Perez,5,2024-11-09
Northwest 2014 Boys,1,AZ Arsenal Pre-ECNL B14,2,2024-11-03
Northwest 2014 Boys,1,14B Engilman,1,2024-11-02
Northwest 2014 Boys,1,14B Engilman,1,2024-11-02
Northwest 2014 Boys,6,Tuzos Academy Mesa 2014,3,2024-11-02
Northwest 2014 Boys,6,Tuzos Academy Mesa 2014,3,2024-11-02
Northwest 2014 Boys,1,PRFC Desert Foothills 14B Pre-Academy,4,2024-10-27
Northwest 2014 Boys,1,PRFC Desert Foothills 14B Pre-Academy,4,2024-10-27
Northwest 2014 Boys,1,FC Elite Arizona 2014 Boys (ARCHIVED),2,2024-10-20
Northwest 2014 Boys,1,Dynamos SC 14B Gold,3,2024-10-19
Northwest 2014 Boys,2,PRFC North Valley 14B PreAcademy,2,2024-10-13
Northwest 2014 Boys,2,PRFC North Valley 14B PreAcademy,2,2024-10-13
Northwest 2014 Boys,3,Brazas 2014 Boys Black Marcos,4,2024-10-12
Northwest 2014 Boys,3,Brazas 2014 Boys Black Marcos,4,2024-10-12
Northwest 2014 Boys,0,AZ Arsenal Pre-ECNL B14,13,2024-10-11
Northwest 2014 Boys,0,AZ Arsenal Pre-ECNL B14,13,2024-10-11
Northwest 2014 Boys,0,14B GSA,6,2024-09-28
Northwest 2014 Boys,0,14B GSA,6,2024-09-28
Northwest 2014 Boys,1,AZ Arsenal 14 Boys Teal SC,1,2024-09-28
Northwest 2014 Boys,0,AZ Arsenal Pre-ECNL B14,4,2024-09-27
Northwest 2014 Boys,0,AZ Arsenal Pre-ECNL B14,4,2024-09-27
Northwest 2014 Boys,2,Dynamos SC 14B Gold,3,2024-09-15
Northwest 2014 Boys,3,14B Engilman,1,2024-09-15
Northwest 2014 Boys,3,14B Engilman,1,2024-09-15
Northwest 2014 Boys,10,PRFC North Valley 14B Copa,3,2024-09-14
Northwest 2014 Boys,10,PRFC North Valley 14B Copa,3,2024-09-14
Northwest 2014 Boys,3,14B Moyer,0,2024-09-14
Northwest 2014 Boys,0,PRFC Scottsdale 14B Predator,3,2024-08-31
Northwest 2014 Boys,0,PRFC Scottsdale 14B Predator,3,2024-08-31
Northwest 2014 Boys,3,PRFC North Valley 14B Predator,3,2024-08-31
Northwest 2014 Boys,3,PRFC North Valley 14B Predator,3,2024-08-31
Northwest 2014 Boys,2,East Valley NSFC 14 Boys Aguirre,3,2024-08-30
Northwest 2014 Boys,2,East Valley NSFC 14 Boys Aguirre,3,2024-08-30
PFC Danger B2014 Blue,6,Tuzos Royals 14 Pre-Academy,0,2025-08-09
PRFC Desert Foothills 14B Pre-Academy,2,CCV Stars 14 Boys South Pre-ECNL,3,2025-10-05
PRFC Desert Foothills 14B Pre-Academy,4,Madison FC 14 Gold Boys,3,2025-10-03
PRFC Desert Foothills 14B Pre-Academy,1,14 Pre-MLSN #2,2,2025-09-28
PRFC Desert Foothills 14B Pre-Academy,1,Madison FC 14 Gold Boys,4,2025-09-20
PRFC Desert Foothills 14B Pre-Academy,4,Southeast 2014 Boys Green,0,2025-09-19
PRFC Desert Foothills 14B Pre-Academy,1,Southeast 2014 Boys Red,5,2025-09-07
PRFC Desert Foothills 14B Pre-Academy,2,AZEV B2014 (NAVY),3,2025-09-06
PRFC Desert Foothills 14B Pre-Academy,1,Madison FC 14 Gold Boys,4,2025-09-06
PRFC Desert Foothills 14B Pre-Academy,6,Southeast 2014 Boys Green,1,2025-08-31
PRFC Desert Foothills 14B Pre-Academy,0,Tuzos Academy Mesa 2014,2,2025-08-31
PRFC Desert Foothills 14B Pre-Academy,6,14B Hermanson AL,0,2025-08-30
PRFC Desert Foothills 14B Pre-Academy,5,Dynamos SC 14B Gold,0,2025-08-29
PRFC Desert Foothills 14B Pre-Academy,2,Madison FC 14 Gold Boys,4,2025-04-06
PRFC Desert Foothills 14B Pre-Academy,2,Madison FC 14 Gold Boys,4,2025-04-06
PRFC Desert Foothills 14B Pre-Academy,5,Tuzos Halcones 2014,2,2025-04-05
PRFC Desert Foothills 14B Pre-Academy,8,NOS Santos 14 Boys Blue,3,2025-03-29
PRFC Desert Foothills 14B Pre-Academy,2,Tuzos Royals 2014,1,2025-03-01
PRFC Desert Foothills 14B Pre-Academy,1,PRFC Scottsdale 14B Pre-Academy,4,2025-02-23
PRFC Desert Foothills 14B Pre-Academy,3,AZ Arsenal 14 Boys Teal SC,1,2025-02-23
PRFC Desert Foothills 14B Pre-Academy,3,Phoenix Premier FC 14B Black,2,2025-02-22
PRFC Desert Foothills 14B Pre-Academy,6,Southeast 2014 Boys Blue,1,2025-02-22
PRFC Desert Foothills 14B Pre-Academy,6,Southeast 2014 Boys Blue,1,2025-02-22
PRFC Desert Foothills 14B Pre-Academy,0,Brazas 2014 Boys Black Marcos,2,2025-02-15
PRFC Desert Foothills 14B Pre-Academy,2,AZSC 14B Perez,5,2025-02-08
PRFC Desert Foothills 14B Pre-Academy,2,AZ Arsenal 14 Boys Teal SC,2,2025-02-01
PRFC Desert Foothills 14B Pre-Academy,3,AZSC 14B Perez,4,2025-01-26
PRFC Desert Foothills 14B Pre-Academy,4,U-12 (2014) Boys Pre Academy Blue,1,2025-01-25
PRFC Desert Foothills 14B Pre-Academy,3,East Valley NSFC 14 Boys Aguirre,1,2025-01-25
PRFC Desert Foothills 14B Pre-Academy,3,PRFC North Valley 14B Predator,2,2025-01-24
PRFC Desert Foothills 14B Pre-Academy,2,2014B West,3,2025-01-18
PRFC Desert Foothills 14B Pre-Academy,2,2014B West,3,2025-01-18
PRFC Desert Foothills 14B Pre-Academy,6,PRFC West Valley 14B Predator,3,2024-12-15
PRFC Desert Foothills 14B Pre-Academy,2,Southeast 2014 Boys Blue,3,2024-12-14
PRFC Desert Foothills 14B Pre-Academy,2,Southeast 2014 Boys Blue,3,2024-12-14
PRFC Desert Foothills 14B Pre-Academy,1,Madison FC 14 Gold Boys,1,2024-12-14
PRFC Desert Foothills 14B Pre-Academy,1,Madison FC 14 Gold Boys,1,2024-12-14
PRFC Desert Foothills 14B Pre-Academy,4,Playmaker Futbol Academy 14B Gold,2,2024-11-03
PRFC Desert Foothills 14B Pre-Academy,4,Playmaker Futbol Academy 14B Black,2,2024-11-03
PRFC Desert Foothills 14B Pre-Academy,2,14B GSA,3,2024-11-02
PRFC Desert Foothills 14B Pre-Academy,2,Dynamos SC 14B Gold,1,2024-11-02
PRFC Desert Foothills 14B Pre-Academy,4,Northwest 2014 Boys,1,2024-10-27
PRFC Desert Foothills 14B Pre-Academy,4,Northwest 2014 Boys,1,2024-10-27
PRFC Desert Foothills 14B Pre-Academy,9,Dynamos SC 14B Gold,3,2024-10-05
PRFC Desert Foothills 14B Pre-Academy,3,Brazas 2014 Boys Black Marcos,3,2024-09-28
PRFC Desert Foothills 14B Pre-Academy,2,Tuzos Royals 2014,4,2024-09-21
PRFC Desert Foothills 14B Pre-Academy,2,AZSC 14B Perez,4,2024-09-14
PRFC Desert Foothills 14B Pre-Academy,5,AZ Arsenal 14 Boys Teal SC,0,2024-09-07
PRFC Desert Foothills 14B Pre-Academy,2,Phoenix United 2014 Premier,2,2024-09-01
PRFC Desert Foothills 14B Pre-Academy,4,PRFC North Valley 14B Predator,2,2024-09-01
PRFC Desert Foothills 14B Predator,1,14 Cityzens,5,2025-10-04
PRFC Desert Foothills 14B Predator,2,NOS Santos 14 Boys White,2,2025-09-20
PRFC Desert Foothills 14B Predator,0,Monsters 2014,3,2025-09-13
PRFC Desert Foothills 14B Predator,2,AZ Inferno 14 Boys Blue,0,2025-08-31
PRFC Desert Foothills 14B Predator,3,Phoenix Valley Soccer Club boys 2014,5,2025-08-30
PRFC Desert Foothills 14B Predator,2,Madison FC 14 White Boys,4,2025-08-29
PRFC Desert Foothills 14B Predator,1,CCV Stars 14 Boys North Navy,7,2025-02-08
PRFC Desert Foothills 14B Predator,5,NOS Santos 14 Boys Blue,0,2025-01-25
PRFC Desert Foothills 14B Predator,0,FC Elite Arizona 2014 Boys (ARCHIVED),7,2025-01-25
PRFC Desert Foothills 14B Predator,2,Tuzos Royals 14 Pre-Academy,6,2025-01-25
PRFC Desert Foothills 14B Predator,0,Southeast 2014 Boys Green,4,2025-01-24
PRFC Desert Foothills 14B Predator,0,Southeast 2014 Boys Green,4,2025-01-24
PRFC Desert Foothills 14B Predator,1,Phoenix Premier FC 14B SW Black,6,2025-01-18
PRFC Desert Foothills 14B Predator,1,Phoenix Premier FC 14B SW Black,6,2025-01-18
PRFC Desert Foothills 14B Predator,2,2014 Rush Boys,2,2025-01-11
PRFC Desert Foothills 14B Predator,3,14B Felix Nogales,3,2024-12-14
PRFC Desert Foothills 14B Predator,2,14 Cityzens,6,2024-12-14
PRFC Desert Foothills 14B Predator,3,Tuzos 2014 Nava,5,2024-11-16
PRFC Desert Foothills 14B Predator,0,Madison FC 14 Blue Boys,4,2024-11-16
PRFC Desert Foothills 14B Predator,0,AZEV B2014 (WHITE),9,2024-11-02
PRFC Desert Foothills 14B Predator,2,NOS Santos 14 Boys White,4,2024-11-02
PRFC Desert Foothills 14B Predator,0,Phoenix Premier FC 14B X-Factor,6,2024-10-27
PRFC Desert Foothills 14B Predator,0,Phoenix Premier FC 14B Black,6,2024-10-27
PRFC Desert Foothills 14B Predator,4,Amore 2014 Boys,2,2024-10-26
PRFC Desert Foothills 14B Predator,0,PRFC West Valley 14B Pre-Academy,1,2024-10-25
PRFC Desert Foothills 14B Predator,5,2014 Rush Boys,2,2024-10-19
PRFC Desert Foothills 14B Predator,4,PRFC Southeast Valley 14B Predator,3,2024-09-21
PRFC Desert Foothills 14B Predator,3,AZ Arsenal 14 Boys Teal SC,6,2024-09-14
PRFC Desert Foothills 14B Predator,3,AZ Arsenal 14 Boys Teal SC,6,2024-09-14
PRFC Desert Foothills 14B Predator,0,FC Elite Arizona 2014 Boys (ARCHIVED),4,2024-09-01
PRFC Desert Foothills 14B Predator,2,Southeast 2014 Boys Green,4,2024-08-31
PRFC Desert Foothills 14B Predator,2,Southeast 2014 Boys Green,4,2024-08-31
PRFC Desert Foothills 14B Predator,5,Amore 2014 Boys,1,2024-08-30
PRFC North Valley 14B Copa,0,Select 14B Red,5,2025-04-27
PRFC North Valley 14B Copa,0,Select 14B Red,5,2025-04-27
PRFC North Valley 14B Copa,1,Tuzos Royals 14 Pre-Academy,6,2025-04-26
PRFC North Valley 14B Copa,0,FC Elite Arizona 2014 Boys (ARCHIVED),6,2025-04-26
PRFC North Valley 14B Copa,1,AZ Arsenal Pre-ECNL B14,8,2025-04-12
PRFC North Valley 14B Copa,1,PSG 14B Blue,11,2025-04-05
PRFC North Valley 14B Copa,2,PRFC North Valley 14B Copa,3,2025-03-16
PRFC North Valley 14B Copa,4,2014 Boys Blue,1,2025-03-16
PRFC North Valley 14B Copa,2,Real Arizona 2014,4,2025-03-16
PRFC North Valley 14B Copa,3,PRFC North Valley 14B Copa,2,2025-03-16
PRFC North Valley 14B Copa,2,State 48 FC Avondale 14 Black,3,2025-03-15
PRFC North Valley 14B Copa,4,14 Cityzens,3,2025-03-15
PRFC North Valley 14B Copa,2,State 48 FC Avondale 14 White,3,2025-03-15
PRFC North Valley 14B Copa,4,PRFC West Valley 14B Predator,4,2025-03-09
PRFC North Valley 14B Copa,2,2014 Rush Boys,4,2025-03-08
PRFC North Valley 14B Copa,5,14B Laroussi,2,2025-03-07
PRFC North Valley 14B Copa,3,NOS Santos 14 Boys White,5,2025-03-01
PRFC North Valley 14B Copa,0,Southeast 2014 Boys Green,9,2025-02-22
PRFC North Valley 14B Copa,0,Southeast 2014 Boys Green,9,2025-02-22
PRFC North Valley 14B Copa,2,14B Rueda,3,2025-02-22
PRFC North Valley 14B Copa,5,14B Laroussi,6,2025-02-15
PRFC North Valley 14B Copa,2,Tuzos 2014 Nava,9,2025-02-08
PRFC North Valley 14B Copa,1,AZEV B2014 (WHITE),6,2025-02-01
PRFC North Valley 14B Copa,14,SCUM East Valley 14B Ninjas,0,2025-01-25
PRFC North Valley 14B Copa,0,Excel Soccer Academy 14B Black,5,2025-01-11
PRFC North Valley 14B Copa,2,14 Boys Navy,5,2024-12-07
PRFC North Valley 14B Copa,3,Phoenix Premier FC 14B SW Black,4,2024-12-07
PRFC North Valley 14B Copa,3,Phoenix Premier FC 14B SW Black,4,2024-12-07
PRFC North Valley 14B Copa,5,NOS Santos 14 Boys White,2,2024-12-06
PRFC North Valley 14B Copa,3,14 Cityzens,2,2024-11-09
PRFC North Valley 14B Copa,0,PSC 2014/15B,1,2024-11-02
PRFC North Valley 14B Copa,0,Madison FC 14 Blue Boys,4,2024-10-25
PRFC North Valley 14B Copa,2,14B Rueda,6,2024-10-19
PRFC North Valley 14B Copa,1,La Academia 14B,6,2024-10-12
PRFC North Valley 14B Copa,1,PRFC Scottsdale 14B Predator,10,2024-10-05
PRFC North Valley 14B Copa,0,Scottsdale 14 Sandsharks Select,16,2024-09-21
PRFC North Valley 14B Copa,0,Scottsdale 14 Sandsharks Select,16,2024-09-21
PRFC North Valley 14B Copa,3,Northwest 2014 Boys,10,2024-09-14
PRFC North Valley 14B Copa,3,Northwest 2014 Boys,10,2024-09-14
PRFC North Valley 14B Copa,0,14B Engilman,3,2024-09-13
PRFC North Valley 14B Copa,0,PRFC West Valley 14B Pre-Academy,16,2024-09-07
PRFC North Valley 14B Copa,1,Scottsdale 14 Sandsharks Select,10,2024-09-01
PRFC North Valley 14B Copa,1,Scottsdale 14 Sandsharks Select,10,2024-09-01
PRFC North Valley 14B Copa,2,PRFC West Valley 14B Predator,1,2024-08-31
PRFC North Valley 14B Copa,0,AZ Arsenal 14 Boys Teal CB,3,2024-08-31
PRFC North Valley 14B PreAcademy,1,CCV Stars 14 Boys North Pre-ECNL,1,2025-10-04
PRFC North Valley 14B PreAcademy,1,Dynamos SC 14B SC,1,2025-09-20
PRFC North Valley 14B PreAcademy,4,14B JDeutsch Pre-MLS Next,0,2025-04-27
PRFC North Valley 14B PreAcademy,1,Playmaker Futbol Academy 14B Black,11,2025-04-25
PRFC North Valley 14B PreAcademy,4,14B Velasco,2,2025-04-13
PRFC North Valley 14B PreAcademy,4,14B JDeutsch Pre-MLS Next,2,2025-04-13
PRFC North Valley 14B PreAcademy,1,PRFC North Valley 14B PreAcademy,6,2025-04-11
PRFC North Valley 14B PreAcademy,6,PRFC North Valley 14B PreAcademy,1,2025-04-11
PRFC North Valley 14B PreAcademy,0,14B Antunez Pre-MLS Next,3,2025-03-22
PRFC North Valley 14B PreAcademy,0,Legends FC AZ 14B Black,0,2025-03-21
PRFC North Valley 14B PreAcademy,0,Dynamos SC 14B SC,0,2025-03-21
PRFC North Valley 14B PreAcademy,4,AZ Arsenal Pre-ECNL B14,0,2025-03-02
PRFC North Valley 14B PreAcademy,1,14B Velasco,1,2025-03-01
PRFC North Valley 14B PreAcademy,1,14B JDeutsch Pre-MLS Next,1,2025-03-01
PRFC North Valley 14B PreAcademy,2,Excel Soccer Academy 14B Red,1,2025-02-09
PRFC North Valley 14B PreAcademy,2,Excel Soccer Academy 14B Red,1,2025-02-09
PRFC North Valley 14B PreAcademy,4,Excel Soccer Academy 14B Red,2,2025-02-08
PRFC North Valley 14B PreAcademy,4,Excel Soccer Academy 14B Red,2,2025-02-08
PRFC North Valley 14B PreAcademy,3,Tuzos Royals 2014,2,2025-02-08
PRFC North Valley 14B PreAcademy,1,Legends FC AZ 14B Black,0,2025-02-07
PRFC North Valley 14B PreAcademy,1,Dynamos SC 14B SC,0,2025-02-07
PRFC North Valley 14B PreAcademy,6,CCV Stars 14 Boys West Pre-ECNL,0,2025-02-02
PRFC North Valley 14B PreAcademy,2,Dynamos SC 14B SC,3,2025-02-01
PRFC North Valley 14B PreAcademy,2,Legends FC AZ 14B Black,3,2025-02-01
PRFC North Valley 14B PreAcademy,2,14B Velasco,2,2024-12-14
PRFC North Valley 14B PreAcademy,2,14B JDeutsch Pre-MLS Next,2,2024-12-14
PRFC North Valley 14B PreAcademy,3,14 Pre-MLSN #2,2,2024-12-08
PRFC North Valley 14B PreAcademy,3,14B Antunez Pre-MLS Next,0,2024-11-24
PRFC North Valley 14B PreAcademy,6,Southeast 2014 Boys Red,4,2024-11-23
PRFC North Valley 14B PreAcademy,0,Southeast 2014 Boys Black,6,2024-11-23
PRFC North Valley 14B PreAcademy,6,Southeast 2014 Boys Red,4,2024-11-23
PRFC North Valley 14B PreAcademy,1,14 Pre-MLSN #1,2,2024-11-23
PRFC North Valley 14B PreAcademy,4,14 Pre-MLSN #1,2,2024-10-20
PRFC North Valley 14B PreAcademy,3,Playmaker Futbol Academy PRE-ECNL B14,2,2024-10-19
PRFC North Valley 14B PreAcademy,3,Playmaker Futbol Academy 14B Black,2,2024-10-19
PRFC North Valley 14B PreAcademy,2,Northwest 2014 Boys,2,2024-10-13
PRFC North Valley 14B PreAcademy,2,Northwest 2014 Boys,2,2024-10-13
PRFC North Valley 14B PreAcademy,1,AZ Arsenal Pre-ECNL B14,7,2024-10-12
PRFC North Valley 14B PreAcademy,3,Brazas 2014 Boys Black Marcos,1,2024-10-11
PRFC North Valley 14B PreAcademy,3,14B Rayados Blue AL,4,2024-10-05
PRFC North Valley 14B PreAcademy,4,CCV Stars 14 Boys South Pre-ECNL,3,2024-09-29
PRFC North Valley 14B PreAcademy,3,Excel Soccer Academy 14B Red,5,2024-09-28
PRFC North Valley 14B PreAcademy,3,Excel Soccer Academy 14B Red,5,2024-09-28
PRFC North Valley 14B PreAcademy,4,14B Negrete Pre MLS Next,1,2024-09-22
PRFC North Valley 14B PreAcademy,0,14B Antunez Pre-MLS Next,2,2024-09-21
PRFC North Valley 14B PreAcademy,1,Southeast 2014 Boys Black,2,2024-08-30
PRFC North Valley 14B Predator,0,14B Velasco,3,2025-09-27
PRFC North Valley 14B Predator,1,CCV Stars 14 Boys North Orange,5,2025-09-20
PRFC North Valley 14B Predator,2,Madison FC 14 Blue Boys,1,2025-09-13
PRFC North Valley 14B Predator,7,FSC United 14 Boys,4,2025-09-07
PRFC North Valley 14B Predator,5,CCV Stars 14 Boys North Navy,2,2025-09-07
PRFC North Valley 14B Predator,2,2014B West,4,2025-09-06
PRFC North Valley 14B Predator,0,14B GSA,1,2025-09-06
PRFC North Valley 14B Predator,1,Kingman SC B14 McGill,2,2025-09-06
PRFC North Valley 14B Predator,3,FC Arizona 14B Black GFC Suenaga U12,10,2025-08-31
PRFC North Valley 14B Predator,5,2014B West,1,2025-08-31
PRFC North Valley 14B Predator,4,Playmaker Futbol Academy 14B Gold,1,2025-08-30
PRFC North Valley 14B Predator,1,Phoenix United 2014 Premier,6,2025-08-29
PRFC North Valley 14B Predator,2,PRFC Scottsdale 14B Predator,4,2025-04-26
PRFC North Valley 14B Predator,2,Dynamos SC 14B Gold,2,2025-04-13
PRFC North Valley 14B Predator,3,14B Engilman,3,2025-04-12
PRFC North Valley 14B Predator,4,Tuzos Halcones 2014,1,2025-03-16
PRFC North Valley 14B Predator,0,14B Moyer,1,2025-03-09
PRFC North Valley 14B Predator,2,Phoenix Premier FC 14B Black,2,2025-03-01
PRFC North Valley 14B Predator,2,Madison FC 14 Gold Boys,5,2025-03-01
PRFC North Valley 14B Predator,0,Southeast 2014 Boys Green,1,2025-02-23
PRFC North Valley 14B Predator,0,Southeast 2014 Boys Green,1,2025-02-23
PRFC North Valley 14B Predator,0,AZSC 14B Perez,4,2025-01-26
PRFC North Valley 14B Predator,1,Southeast 2014 Boys Black,7,2025-01-26
PRFC North Valley 14B Predator,1,AZ Arsenal Pre-ECNL B14,2,2025-01-25
PRFC North Valley 14B Predator,2,PRFC Desert Foothills 14B Pre-Academy,3,2025-01-24
